Datasets,NickName,Score,In OpenVLA?,FInish Modify,need modify,other view,fully download,whether FPS is proper?,AI/human,finish,#Trajectories,fully upload to AWS,verison,download link,Language instructions,In OXE?,How to modify it to align with our overall objectives?,Tasks / Categories,Comments,#Scenes,Avg. frames/trajectory,Control frequency,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments,Real or Not?,Granularity,Pixel Quality,Size of Dataset
FMB,fmb,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,no need modify,TRUE,"8,611",1.2T 下载太慢,0.0.1,https://functional-manipulation-benchmark.github.io/,"template
{verb} the {color/shape} object
eg.
Insert the hexagon object.
Pick up the round object.",✅,no need modify ,"1. Place 
2. Grasp
3. Insert
4. Move to board
5. Rotate 
6. Regrasp",,1,227,10,4,4,2,2,Franka Panda,Single Arm,,54  assembly objects + 3 assembly boards,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_language_embedding': Tensor(shape=(512,), dtype=float32),
        'episode_language_instruction': string,
        'episode_task': string,
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'color_id': Scalar(shape=(), dtype=uint8),
            'eef_force': Tensor(shape=(3,), dtype=float32),
            'eef_pose': Tensor(shape=(7,), dtype=float32),
            'eef_torque': Tensor(shape=(3,), dtype=float32),
            'eef_vel': Tensor(shape=(6,), dtype=float32),
            'image_side_1': Image(shape=(256, 256, 3), dtype=uint8),
            'image_side_1_depth': Tensor(shape=(256, 256), dtype=float32),
            'image_side_2': Image(shape=(256, 256, 3), dtype=uint8),
            'image_side_2_depth': Tensor(shape=(256, 256), dtype=float32),
            'image_wrist_1': Image(shape=(256, 256, 3), dtype=uint8),
            'image_wrist_1_depth': Tensor(shape=(256, 256), dtype=float32),
            'image_wrist_2': Image(shape=(256, 256, 3), dtype=uint8),
            'image_wrist_2_depth': Tensor(shape=(256, 256), dtype=float32),
            'joint_pos': Tensor(shape=(7,), dtype=float32),
            'joint_vel': Tensor(shape=(7,), dtype=float32),
            'length': string,
            'object_id': Scalar(shape=(), dtype=uint8),
            'primitive': string,
            'shape_id': Scalar(shape=(), dtype=uint8),
            'size': string,
            'state_gripper_pose': Scalar(shape=(), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF velocity,,IJRR 2024,,,Franka Panda,,"not general.This task requires an auxiliary bracket ,the black one 
",,,,
IO-AI,io_ai_tech,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no need modify,TRUE,3847,TRUE,0.0.1,https://github.com/ioai-tech/,"template {pick/place} {object name}
1. pick
2. place",✅,✅,"1. pick
2. place",,2,84,30,4,1,2,2,human,Single Arm,,NA(anything in the table-top),"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'depth': Image(shape=(720, 1280, 1), dtype=uint8),
            'fisheye_camera_extrinsic': Tensor(shape=(4, 4), dtype=float32),
            'fisheye_camera_intrinsic': Tensor(shape=(3, 3), dtype=float32),
            'image': Image(shape=(360, 640, 3), dtype=uint8),
            'image_fisheye': Image(shape=(640, 800, 3), dtype=uint8),
            'image_left_side': Image(shape=(360, 640, 3), dtype=uint8),
            'image_right_side': Image(shape=(360, 640, 3), dtype=uint8),
            'left_camera_extrinsic': Tensor(shape=(4, 4), dtype=float32),
            'left_camera_intrinsic': Tensor(shape=(3, 3), dtype=float32),
            'main_camera_intrinsic': Tensor(shape=(3, 3), dtype=float32),
            'right_camera_extrinsic': Tensor(shape=(4, 4), dtype=float32),
            'right_camera_intrinsic': Tensor(shape=(3, 3), dtype=float32),
            'state': Tensor(shape=(8,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})

action : EE x y z rx zy rz. gripper
state : 7 joint + gripper ",EEF Position,,,,,,,"✅
although collected by human",,,,
RoboSet,robo_set,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"human
down sample",FALSE,18250,TRUE,0.0.1,https://robopen.github.io/roboset/,"fine-grad natural language 
1. pick
2. place 
3. flap-close 
4. flap-open  
5. cap
6. uncap
7. slide-close
8. slide-open 
9. press 
10. slide-in
11. slide-put
12. wipe",✅,✅,"1. pick
2. place 
3. flap-close 
4. flap-open  
5. cap
6. uncap
7. slide-close
8. slide-open 
9. press 
10. slide-in
11. slide-put
12. wipe",,1,<100,5,4,0,1,3,Franka panda,Single Arm,,"NA(anything in the kichen  table-top , like the oven , toy , mug , cup and etc.)","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
        'trial_id': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_instruction': string,
        'observation': FeaturesDict({
            'image_left': Image(shape=(240, 424, 3), dtype=uint8),
            'image_right': Image(shape=(240, 424, 3), dtype=uint8),
            'image_top': Image(shape=(240, 424, 3), dtype=uint8),
            'image_wrist': Image(shape=(240, 424, 3), dtype=uint8),
            'state': Tensor(shape=(8,), dtype=float32),
            'state_velocity': Tensor(shape=(8,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})
",joint position ：7 joint position + 1 gripper,,,human VR,,,,,,,,
CMU Food Manipulation,cmu_food_maanipulation,1,FALSE,TRUE,,,,,,,4200,FALSE,,https://sites.google.com/view/playing-with-food/,"{grasp , press , release } the {21 kind food}
for example: 
1.Grasp the tomato slice.
2.Release the bread slice.
3.Release the mozzarella slice.
4.Grasp the boiled_carrot slice.
5.Press down on the boiled_bell_pepper slice.
6.Grasp the boiled_pear slice.
7.Grasp the cheddar slice.
8.Press down on the cucumber slice.
9.Grasp the apple slice.
10.Grasp the celery slice.
11.Press down on the onion slice.
12.Grasp the raw_steak slice.
13.Grasp the kiwi slice.
14.Press down on the boiled_pear slice.
15.Press down on the jalapeno slice.
16.Release the cheddar slice.
...
59.Release the onion slice.
60.Grasp the boiled_apple slice.
61.Press down on the boiled_potato slice",✅,"1. the action here is 8D, 3x end-effector position, 4x end-effector quaternion, 1x gripper open/close].   quaternion need to change to 3D delta rotation","{grasp , press , release } the {21 kind food}
for example: 
1.Grasp the tomato slice.
2.Release the bread slice.
3.Release the mozzarella slice.
4.Grasp the boiled_carrot slice.
5.Press down on the boiled_bell_pepper slice.
6.Grasp the boiled_pear slice.
7.Grasp the cheddar slice.
8.Press down on the cucumber slice.
9.Grasp the apple slice.
10.Grasp the celery slice.
11.Press down on the onion slice.
12.Grasp the raw_steak slice.
13.Grasp the kiwi slice.
14.Press down on the boiled_pear slice.
15.Press down on the jalapeno slice.
16.Release the cheddar slice.
...
59.Release the onion slice.
60.Grasp the boiled_apple slice.
61.Press down on the boiled_potato slice",,1,,10,3,0,2,1,Franka,Single Arm,,21 unique food items with varying slices and properties,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=""Robot action, consists of [3x end-effector position, 4x end-effector quaternion, 1x gripper open/close].""),
        'discount': Scalar(shape=(), dtype=float32, description=""Discount if provided, default to 1.""),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=""Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5""),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8, description=""Main camera RGB observation.""),
            'state': Tensor(shape=(6,), dtype=float32, description=""Robot state, consists of [6x end-effector force].""),
            'finger_vision_1': Image(shape=(480, 640, 3), dtype=uint8, description=""Finger Vision 1 RGB observation.""),
            'finger_vision_2': Image(shape=(480, 640, 3), dtype=uint8, description=""Finger Vision 2 RGB observation.""),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=""Reward if provided, 1 on final step for demos.""),
    }),
})",EEF Position,,,,,,,,,,,
CMU Play Fusion,cmu_play_fusion,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"human
down sample",FALSE,576,TRUE,0.1.0,https://play-fusion.github.io/,"some example:
1.pick pot and place in sink
2.pick spoon and place in red cup
3.open grill, then pick pineapple and place insid grill
4.pick pot and place on wooden hanger
5.open pot, then pick pineapple and place insid pot
6.open oven, then pick chicken and place insid oven
7.pick yellow cup and place in dish rack
8.pick banana and place in blue plate
9.pick knife and place in blue plate
10.pick knife and place in red cup
11.pick knife and place in pink bowl
12.pick radish and place in pink bowl
13.pick radish and place in blue plate
14.pick banana and place in pink bowl
15.open pot, then pick bread and place insid pot
16.pick yellow bowl and place in sink
17.open grill, then pick carrot and place insid grill
18.open oven, then pick carrot and place insid oven
19.pick radish and place in red cup
20.pick yellow bowl and place on wooden hanger
21.pick yellow bowl and place in dish rack
22.open oven, then pick steak and place insid oven
23.pick orange cup and place on wooden hanger
24.open oven, then pick pineapple and place insid oven
25.pick yellow cup and place in sink
26.pick orange cup and place in sink
27.pick spoon and place in pink bowl
28.open grill, then pick chicken and place insid grill
29.pick yellow cup and place on wooden hanger
30.open pot, then pick carrot and place insid pot
31.pick carrot and place in blue plate
32.open pot, then pick chicken and place insid pot
33.pick pot and place in dish rack
34.pick orange cup and place in dish rack
35.open oven, then pick bread and place insid oven
",✅,"1. action space need to modify 
2. only third-person vedio , which need to consider","some example:
1.pick pot and place in sink
2.pick spoon and place in red cup
3.open grill, then pick pineapple and place insid grill
4.pick pot and place on wooden hanger
5.open pot, then pick pineapple and place insid pot
6.open oven, then pick chicken and place insid oven
7.pick yellow cup and place in dish rack
8.pick banana and place in blue plate
9.pick knife and place in blue plate
10.pick knife and place in red cup
11.pick knife and place in pink bowl
12.pick radish and place in pink bowl
13.pick radish and place in blue plate
14.pick banana and place in pink bowl
15.open pot, then pick bread and place insid pot
16.pick yellow bowl and place in sink
17.open grill, then pick carrot and place insid grill
18.open oven, then pick carrot and place insid oven
19.pick radish and place in red cup
20.pick yellow bowl and place on wooden hanger
21.pick yellow bowl and place in dish rack
22.open oven, then pick steak and place insid oven
23.pick orange cup and place on wooden hanger
24.open oven, then pick pineapple and place insid oven
25.pick yellow cup and place in sink
26.pick orange cup and place in sink
27.pick spoon and place in pink bowl
28.open grill, then pick chicken and place insid grill
29.pick yellow cup and place on wooden hanger
30.open pot, then pick carrot and place insid pot
31.pick carrot and place in blue plate
32.open pot, then pick chicken and place insid pot
33.pick pot and place in dish rack
34.pick orange cup and place in dish rack
35.open oven, then pick bread and place insid oven
",,7,394,5,1,0,0,1,Franka,Single Arm,,table top objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(9,), dtype=float32, description=Robot action, consists of [7x delta eef (pos + quat), 1x gripper open/close (binary), 1x terminate episode].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(8,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper position.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,CoRL2023,,,,,,,,,
CMU Stretch,cmu_stretch,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,135,TRUE,0.1.0,https://robo-affordances.github.io/,"only 5 instruction
1.lift open green garbage can lid
2.open door
3.open drawer
4.pull open a dishwasher
5.lift up a lid from the pot",✅,"1. action space : only aciton[:8] , first 7 demention is used
2. fine annotation  wihtin the same task
3. many trajectory are failed , need to filter","only 5 instruction
1.lift open green garbage can lid
2.open door
3.open drawer
4.pull open a dishwasher
5.lift up a lid from the pot",,1,185,10,1,0,0,1,Hello Stretch,Mobile Manipulator,,"only 5 object：
1.green garbage can lid
2.door
3.drawer
4. dishwasher
5.lid and pot","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x ee pos, 3x ee rot 1x gripper binary action, 1x terminate episode].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(4,), dtype=float32, description=Robot state, consists of [3x robot joint angles/ee pos, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,,,,,,,,
DROID,droid,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,ai,FALSE,92233,FALSE,,https://droid-dataset.github.io/,Natural,✅,"1. contain the detail velocity imforamtion,but it is redundant    ---- >. delete 
2. need to change the  image (180,320, 3 ) to. ( 224,224,3)
3. only one  third-person image is enough , chose the left or the right one is enough 
4. there are 3 instruction. for example : language_instruction :""Put the marker in the pot"" ,  ""language_instruction_2 "":""Get the marker from the table and put it inside the silver pot"" ;  "" language_instruction_3"" : ""Put the marker inside the silver pot"";  
5.  some task have not the second and third language instruction , so we only get the first instrucition ,
6. wash the data without instruction  ","1.put

2. move 

3. pick

4. take 

5. open 

6. close 

7. place 

8. turn 

9. remove

10. other","76k demonstration trajectories  
350 hours of interaction data
564 scenes
84 tasks
Visualization",564,300,15,3,0,2,1,Franka Panda,Single Arm,,"1. Food

2. personal care

3. kichen tools

4. sports

5. accessories

6. hardware

7. clothes

8. appliances

9. utensils

10. furniture

11. textile

12. containers

13. stationary ","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_id': Scalar(shape=(), dtype=int32),
        'file_path': string,
        'recording_folderpath': string,
        'has_exterior_image_1_left': Scalar(shape=(), dtype=bool),
        'has_exterior_image_2_left': Scalar(shape=(), dtype=bool),
        'has_wrist_image_left': Scalar(shape=(), dtype=bool),
        'has_language': Scalar(shape=(), dtype=bool),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'action_dict': FeaturesDict({
            'cartesian_position': Tensor(shape=(6,), dtype=float32),
            'cartesian_velocity': Tensor(shape=(6,), dtype=float32),
            'gripper_position': Tensor(shape=(1,), dtype=float32),
            'gripper_velocity': Tensor(shape=(1,), dtype=float32),
            'joint_position': Tensor(shape=(7,), dtype=float32),
            'joint_velocity': Tensor(shape=(7,), dtype=float32),
        }),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'language_instruction_2': string,
        'language_instruction_3': string,
        'observation': FeaturesDict({
            'exterior_image_1_left': Image(shape=(180, 320, 3), dtype=uint8),
            'exterior_image_2_left': Image(shape=(180, 320, 3), dtype=uint8),
            'wrist_image_left': Image(shape=(180, 320, 3), dtype=uint8),
            'cartesian_position': Tensor(shape=(6,), dtype=float32),
            'joint_position': Tensor(shape=(7,), dtype=float32),
            'gripper_position': Tensor(shape=(1,), dtype=float32),
            'state': Tensor(shape=(14,), dtype=float32),  
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF position,,RSS 2024,"Github link about how to process rawdata

https://github.com/kpertsch/droid_dataset_builder","1. hardware setup ($20,000)
2. softwate setup
3. how to load and visualize samples


https://droid-dataset.github.io/droid/the-droid-dataset.html",,"Robot Platform: 
1. Franka Panda 7DoF robot arm
2. two adjustable Zed 2 stereo cameras
3. one  wristmounted Zed Mini stereo camera,
3. one  Oculus Quest 2 headset 

        
",,,,,
BridgeDataV2,bridge,3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,ai,FALSE,"60,096 (50,365 human / 9,731 rollouts)",FALSE,,https://rail-berkeley.github.io/bridgedata/,"Natural
1. Pick-and-place (includes reorienting objects in place)
2. Pushing objects
3. Wiping (e.g., wiping the table with a cloth)
4. Sweeping (e.g., sweeping beans into a pile)
5. Stacking
6. Folding cloths
7. Opening and closing drawers
8. Only grasp different objects
9. Twisting knobs
10. Flipping switches
11. Zipping and unzipping
12. Opening and closing doors
13. Opening and closing cardboard box flaps",✅,"Seems to be good
- very diverse, with diverse instructions & objects","1. Pick-and-place (includes reorienting objects in place)
2. Pushing objects
3. Wiping (e.g., wiping the table with a cloth)
4. Sweeping (e.g., sweeping beans into a pile)
5. Stacking
6. Folding cloths
7. Opening and closing drawers
8. Only grasp different objects
9. Twisting knobs
10. Flipping switches
11. Zipping and unzipping
12. Opening and closing doors
13. Opening and closing cardboard box flaps","Important: For the BridgeData V2 component, the version in OXE is out of date (as of 12/20/2023). Instead, you should download the dataset from the official website and place it under the subdirectory bridge_orig/. Replace any reference to bridge in the OXE code with bridge_orig.",24 (4 types),41,5,4,1,1,3,WidowX,Single Arm,❌,"can, pot, towel, table, cloth, spoon, knife, board, kadai, banana, napkin, eggplant, wedge, rag, pepper, sink, strawberry, vessel, colander, potato, sushi, plate, fork, cucumber, srewdriver, bowl, mushroom, peeler, lid, cardboardfence, fence, pear, egg, microwave, spatula, cheese, broccoli","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'open_gripper': bool,
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'state': Tensor(shape=(7,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,CoRL 2023,"1. Raw to Numpy to TFrecords processing code

2. Downloading RLDS from OXE & OpenVLA preprocessing code (resize_and_jpeg_encode)","1. Robot setup costs ~$4, 000
2. VR teleoperation
3. To support the evaluation of multi-task learning methods, collect data for many possible tasks simultaneously in each environment.
",,"Cameras: (640x480, 5Hz) 
1 RGBD camera fixed in an over-the-shoulder view
2 RGB cameras with poses that are randomized during data collection 
1 RGB camera attached to the robot’s wrist.",,,,,
Austin Mutex,utaustin_mutex,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"human
down sample",FALSE,1500,TRUE,0.1.0,https://ut-austin-rpl.github.io/MUTEX/,"1.
Carefully navigate your gripper to the air fryer's handle.
Confidently seize the handle using your gripper.
Gradually bring the handle toward yourself to access the air fryer.
2.
With care, position your gripper close to the oven tray handle.
Make sure to grip the handle tightly.
Delicately and attentively pull the tray out from the oven.
3.
Kindly get your arm to the topmost drawer handle.
Get a good grip on it, then softly pull to open it.
4.
Gently grip the air fryer handle with your gripper and kindly pull it open by sliding your gripper away from the base.
Gradually bring your gripper in line with the blue bowl and gently capture it, without tightening your grip too much.
Securely place the blue bowl inside the opened air fryer with a steady position.
Liberate your robot's gripper, and withdraw your gripper from the proximity of the air fryer.
...
44.Kindly position your hand close to the oven tray's handle.
Softly yet firmly grasp the handle using your hand.
Slowly and with caution, draw the tray out until it is fully stretched out.",✅,✅perfect,"1.
Carefully navigate your gripper to the air fryer's handle.
Confidently seize the handle using your gripper.
Gradually bring the handle toward yourself to access the air fryer.
2.
With care, position your gripper close to the oven tray handle.
Make sure to grip the handle tightly.
Delicately and attentively pull the tray out from the oven.
3.
Kindly get your arm to the topmost drawer handle.
Get a good grip on it, then softly pull to open it.
4.
Gently grip the air fryer handle with your gripper and kindly pull it open by sliding your gripper away from the base.
Gradually bring your gripper in line with the blue bowl and gently capture it, without tightening your grip too much.
Securely place the blue bowl inside the opened air fryer with a steady position.
Liberate your robot's gripper, and withdraw your gripper from the proximity of the air fryer.
...
44.Kindly position your hand close to the oven tray's handle.
Softly yet firmly grasp the handle using your hand.
Slowly and with caution, draw the tray out until it is fully stretched out.",,1,234,20,2,0,1,1,Franka,Single Arm,,"object on table like book,mug","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [6x end effector delta pose, 1x gripper position]),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(24,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper position, 16x robot end-effector homogeneous matrix].),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,,,,(need simplify the instructions),,,,
USC Jaco Play,jaco_play,2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"human
down sample",FALSE,976,TRUE,0.1.0,https://github.com/clvrai/clvr_jaco_play_dataset,"Templated
- place the milk dairy in the white plate (4.0%)
- pick up the long bread (4.0%)
- pick up the steak meat (4.0%)
- place the gray bowl in the table (2.0%)
- place the green cup in the oven (2.0%)
...
- place the long bread in the gray bowl (2.0%)
- place the butter dairy in the gray bowl (2.0%)
- pick up the green cup (2.0%)
- place the green cup in the dish rack (2.0%)",✅,1. Adding visual/process details for task repeatition,"1. pick up the {}
2. place {} in the {}",,1,71,10,2,0,1,1,Jaco 2 Arm,Single Arm,,"dairy, bowl, rack, bread, fruit, table, cup, oven, meat, plate, sink","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'terminate_episode': Tensor(shape=(3,), dtype=int32),
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'end_effector_cartesian_pos': Tensor(shape=(7,), dtype=float32),
            'end_effector_cartesian_velocity': Tensor(shape=(6,), dtype=float32),
            'image': Image(shape=(224, 224, 3), dtype=uint8),
            'image_wrist': Image(shape=(224, 224, 3), dtype=uint8),
            'joint_pos': Tensor(shape=(8,), dtype=float32),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})


ee_cartesian_pos_ob : end effector cartesian position. ee_cartesian_pos_ob[0:3] corresponds to position and ee_cartesian_pos_ob[3:7] corresponds to orientation in quarternian format
ee_cartesian_vel_ob : end effector cartesian velocity. ee_cartesian_pos_ob[0:3] corresponds to change in position and ee_cartesian_pos_ob[3:6] corresponds to change in orientation in roll, pitch yaw format
",EEF Position,,NA,,,Jaco 2 Arm,,,,,,
