Datasets,Score,In OpenVLA?,FInish Modify,How many different task  after modify,Tasks / Categories,#UniqueTasks,Comments,Scenes,#Scenes,#Trajectories,Avg. frames/trajectory,Control frequency,In OXE?,NickName,Language instructions,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,How to modify it to align with our overall objectives?,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments
AgiBot World,,FALSE,,,Detailed task list,"217

(96 atmoic actions)","1. AgiBot World Beta: complete dataset featuring 1,003,672 trajectories (~43.8T)
AgiBot World Alpha: curated subset of Beta, containing 92,214 trajectories (~8.5T)

2. Official Visualizations

3. Faliure recovery: Retain them and manually annotate each with corresponding failure reasons and timestamps","1. Home (51%)

2. Restaurant (17%)

3. Industry (8%)

4. Office (14%)

5. Supermarket (10%)",106,"1,003,672 (#slices)","1,000",30,❌,NA,Natural,4,1,2,2,AgiBot-G1,Humanoid,"(Gelsight video)
Some of them","1. Daily necessities (e.g. wardrobe, dishwasher, fridge, toaster, washing machine), food, clothing, etc.

2. Restaurant - Food, Tableware, Kitchenware, etc.

3. Daily necessities (e.g., box, trash bag, toothpick, smart charger, rice cakes), Food, etc.

4. Daily necessities (trash, tissues, bottled water, microwave), Office supplies (whiteboard, eraser, remote controller), etc.

5. Snacks, Personal care products, etc.",Detailed Explanation ,,"1. There are some dirty tasks. 
",,IROS 2025,"Official processing codes are not released

Agibot to Lerobot",,"AgiBot G1

Platform: dual 7-DoF arms, a mobile chassis, and an adjustable waist
End-effectors: a standard gripper (visuo-tactile sensors) or a 6-DoF dexterous hand
Cameras: 1 RGB-D camera and 3 fisheye cameras for the front view, RGB-D or fisheye cameras mounted on each end-effector, and 2 fisheye cameras positioned at the rear.",,
DROID,5,TRUE,TRUE,,"1.put

2. move 

3. pick

4. take 

5. open 

6. close 

7. place 

8. turn 

9. remove

10. other",217,"76k demonstration trajectories  
350 hours of interaction data
564 scenes
84 tasks
Visualization","1. industrial office 

2. kichen

3. office

4. living room

5. dinning room

6. bashroom

7. badroom

8. hallway

9. laundry room",564,92233,300,15,✅,droid,Natural,3,0,2,1,Franka Panda,Single Arm,,"1. Food

2. personal care

3. kichen tools

4. sports

5. accessories

6. hardware

7. clothes

8. appliances

9. utensils

10. furniture

11. textile

12. containers

13. stationary ","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_id': Scalar(shape=(), dtype=int32),
        'file_path': string,
        'recording_folderpath': string,
        'has_exterior_image_1_left': Scalar(shape=(), dtype=bool),
        'has_exterior_image_2_left': Scalar(shape=(), dtype=bool),
        'has_wrist_image_left': Scalar(shape=(), dtype=bool),
        'has_language': Scalar(shape=(), dtype=bool),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'action_dict': FeaturesDict({
            'cartesian_position': Tensor(shape=(6,), dtype=float32),
            'cartesian_velocity': Tensor(shape=(6,), dtype=float32),
            'gripper_position': Tensor(shape=(1,), dtype=float32),
            'gripper_velocity': Tensor(shape=(1,), dtype=float32),
            'joint_position': Tensor(shape=(7,), dtype=float32),
            'joint_velocity': Tensor(shape=(7,), dtype=float32),
        }),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'language_instruction_2': string,
        'language_instruction_3': string,
        'observation': FeaturesDict({
            'exterior_image_1_left': Image(shape=(180, 320, 3), dtype=uint8),
            'exterior_image_2_left': Image(shape=(180, 320, 3), dtype=uint8),
            'wrist_image_left': Image(shape=(180, 320, 3), dtype=uint8),
            'cartesian_position': Tensor(shape=(6,), dtype=float32),
            'joint_position': Tensor(shape=(7,), dtype=float32),
            'gripper_position': Tensor(shape=(1,), dtype=float32),
            'state': Tensor(shape=(14,), dtype=float32),  
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF position,"1. contain the detail velocity imforamtion,but it is redundant    ---- >. delete 
2. need to change the  image (180,320, 3 ) to. ( 224,224,3)
3. only one  third-person image is enough , chose the left or the right one is enough 
4. there are 3 instruction. for example : language_instruction :""Put the marker in the pot"" ,  ""language_instruction_2 "":""Get the marker from the table and put it inside the silver pot"" ;  "" language_instruction_3"" : ""Put the marker inside the silver pot"";  
5.  some task have not the second and third language instruction , so we only get the first instrucition ,
6. wash the data without instruction  ",,RSS 2024,"Github link about how to process rawdata

https://github.com/kpertsch/droid_dataset_builder","1. hardware setup ($20,000)
2. softwate setup
3. how to load and visualize samples


https://droid-dataset.github.io/droid/the-droid-dataset.html",,"Robot Platform: 
1. Franka Panda 7DoF robot arm
2. two adjustable Zed 2 stereo cameras
3. one  wristmounted Zed Mini stereo camera,
3. one  Oculus Quest 2 headset 

        
",
BridgeData,5,TRUE,FALSE,,"1. Pick-and-place (includes reorienting objects in place)
2. Pushing objects
3. Wiping (e.g., wiping the table with a cloth)
4. Sweeping (e.g., sweeping beans into a pile)
5. Stacking
6. Folding cloths
7. Opening and closing drawers
8. Only grasp different objects
9. Twisting knobs
10. Flipping switches
11. Zipping and unzipping
12. Opening and closing doors
13. Opening and closing cardboard box flaps",13 categoires,"Important: For the BridgeData V2 component, the version in OXE is out of date (as of 12/20/2023). Instead, you should download the dataset from the official website and place it under the subdirectory bridge_orig/. Replace any reference to bridge in the OXE code with bridge_orig.","1. Toy Kitchens (65.7%)
2. Tabletops (24.4%)
3. Toy sinks (6.2%)
4. Others (4.0%)",24 (4 types),"60,096 (50,365 human / 9,731 rollouts)",41,5,✅,bridge,"Natural
1. Pick-and-place (includes reorienting objects in place)
2. Pushing objects
3. Wiping (e.g., wiping the table with a cloth)
4. Sweeping (e.g., sweeping beans into a pile)
5. Stacking
6. Folding cloths
7. Opening and closing drawers
8. Only grasp different objects
9. Twisting knobs
10. Flipping switches
11. Zipping and unzipping
12. Opening and closing doors
13. Opening and closing cardboard box flaps",4,1,1,3,WidowX,Single Arm,❌,"can, pot, towel, table, cloth, spoon, knife, board, kadai, banana, napkin, eggplant, wedge, rag, pepper, sink, strawberry, vessel, colander, potato, sushi, plate, fork, cucumber, srewdriver, bowl, mushroom, peeler, lid, cardboardfence, fence, pear, egg, microwave, spatula, cheese, broccoli","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_id': Scalar(shape=(), dtype=int32),
        'file_path': string,
        'has_image_0': Scalar(shape=(), dtype=bool),
        'has_image_1': Scalar(shape=(), dtype=bool),
        'has_image_2': Scalar(shape=(), dtype=bool),
        'has_image_3': Scalar(shape=(), dtype=bool),
        'has_language': Scalar(shape=(), dtype=bool),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'image_0': Image(shape=(256, 256, 3), dtype=uint8),
            'image_1': Image(shape=(256, 256, 3), dtype=uint8),
            'image_2': Image(shape=(256, 256, 3), dtype=uint8),
            'image_3': Image(shape=(256, 256, 3), dtype=uint8),
            'state': Tensor(shape=(7,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,"Seems to be good
- very diverse, with diverse instructions & objects",,CoRL 2023,"1. Raw to Numpy to TFrecords processing code

2. Downloading RLDS from OXE & OpenVLA preprocessing code (resize_and_jpeg_encode)","1. Robot setup costs ~$4, 000
2. VR teleoperation
3. To support the evaluation of multi-task learning methods, collect data for many possible tasks simultaneously in each environment.
",,"Cameras: (640x480, 5Hz) 
1 RGBD camera fixed in an over-the-shoulder view
2 RGB cameras with poses that are randomized during data collection 
1 RGB camera attached to the robot’s wrist.",
QT-Opt,4,TRUE,FALSE,,Only grasp different objects,1,"Maybe need to filter success-only data, since the trajectory are collected automatically via Neural Networks",Tabletop,1,"580,392",14,10,✅,kuka,None,1,0,0,1,LBRIIWA arm,Single Arm,❌,NA,"FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'base_displacement_vector': Tensor(shape=(2,), dtype=float32),
            'base_displacement_vertical_rotation': Tensor(shape=(1,), dtype=float32),
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': Tensor(shape=(3,), dtype=int32),
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'clip_function_input/base_pose_tool_reached': Tensor(shape=(7,), dtype=float32),
            'clip_function_input/workspace_bounds': Tensor(shape=(3, 3), dtype=float32),
            'gripper_closed': Tensor(shape=(1,), dtype=float32),
            'height_to_bottom': Tensor(shape=(1,), dtype=float32),
            'image': Image(shape=(512, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'task_id': Tensor(shape=(1,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
    'success': bool,
})",EEF Position,"1. generating natural language instruction, especially for objects
2. remove repeatition because it is simple task",,CoRL 2018,,"Data was collected with 7 LBR IIWA robots, with 4-10 training objects per robot. The objects were replaced every 4 hours during business hours.

(collected by off-policy QT-Opt algorithm)",,,
USC Jaco Play,5,TRUE,TRUE,,"1. pick up the {}
2. place {} in the {}",88,,Tabletop,1,976,71,10,✅,jaco_play,"Templated
- place the milk dairy in the white plate (4.0%)
- pick up the long bread (4.0%)
- pick up the steak meat (4.0%)
- place the gray bowl in the table (2.0%)
- place the green cup in the oven (2.0%)
...
- place the long bread in the gray bowl (2.0%)
- place the butter dairy in the gray bowl (2.0%)
- pick up the green cup (2.0%)
- place the green cup in the dish rack (2.0%)",2,0,1,1,Jaco 2 Arm,Single Arm,,"dairy, bowl, rack, bread, fruit, table, cup, oven, meat, plate, sink","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'terminate_episode': Tensor(shape=(3,), dtype=int32),
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'end_effector_cartesian_pos': Tensor(shape=(7,), dtype=float32),
            'end_effector_cartesian_velocity': Tensor(shape=(6,), dtype=float32),
            'image': Image(shape=(224, 224, 3), dtype=uint8),
            'image_wrist': Image(shape=(224, 224, 3), dtype=uint8),
            'joint_pos': Tensor(shape=(8,), dtype=float32),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})


ee_cartesian_pos_ob : end effector cartesian position. ee_cartesian_pos_ob[0:3] corresponds to position and ee_cartesian_pos_ob[3:7] corresponds to orientation in quarternian format
ee_cartesian_vel_ob : end effector cartesian velocity. ee_cartesian_pos_ob[0:3] corresponds to change in position and ee_cartesian_pos_ob[3:6] corresponds to change in orientation in roll, pitch yaw format
",EEF Position,1. Adding visual/process details for task repeatition,,NA,,,Jaco 2 Arm,,
Roboturk,4,TRUE,FALSE,,"1. object search
2. create tower
3. layout laundry",3,,Tabletop,1,"2,144",88,10,✅,roboturk,"Templated
1. object search
2. create tower
3. layout laundry",2,0,0,2,Sawyer,Single Arm,,"cloth, cups, toys","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'front_rgb': Image(shape=(480, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,Adding visual/process details for tasks,,,,Human VR,,,"1. It seems that the original RGB FPS=1, while the control freq=10"
Berkeley Cable Routing,1,TRUE,FALSE,,"Only route a cable through a series of clips (pickup, route, perturb)",1,,Tabletop,1,"1,482",30,10,✅,berkeley_cable_routing,"None
- Only route a cable through a series of clips (pickup, route, perturb)",3,0,2,1,Franka,Single Arm,,the cable & three clips,"FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=Angular velocity about the z axis.),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32, description=Velocity in XYZ.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'robot_state': Tensor(shape=(7,), dtype=float32),
            'top_image': Image(shape=(128, 128, 3), dtype=uint8),
            'wrist225_image': Image(shape=(128, 128, 3), dtype=uint8),
            'wrist45_image': Image(shape=(128, 128, 3), dtype=uint8),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF velocity,It is too different from our dataset,,T-RO 2024,,Human VR,,,
"NYU VINN
",2,FALSE,FALSE,,Only open door,1,,Different cabinet,NA,435,41,3,"✅
",nyu_door_opening_surprising_effectiveness,"None
- Only open door",1,0,1,0,Hello Stretch,Mobile Manipulator,,canbinets with doors,"FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=Angular velocity around x, y and z axis.),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32, description=Velocity in XYZ.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(720, 960, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF velocity,"1. Maybe add some details about left/right handler
2. Maybe filter repetition in the same scene
3. Action space is wrong in OXE (EEF velocity instead of position)",,,,Human Kinesthetic,,,
Freiburg Franka Play,5,TRUE,FALSE,,"pick up the pink block: 41,
grasp the drawer handle and open it: 37,
pull the drawer: 35,
grasp the handle of the drawer and open it: 34,
go open the drawer: 34,
grasp the pink block: 31,
grasp the drawer handle, then open it: 30,
open the cabinet drawer: 30,
......
grasp the pink block and rotate it left: 1,
push the purple block inside the drawer: 1,
place the pink block on top of the yellow block: 1,",401,,"A a structured tabletop environment with an openable drawer, a reachable sliding door, three color-coded LED buttons (with only the green one interacted to toggle a light), and three lettered blocks of different colors.",1,"3,242",66,15,✅,taco_play,"Templated
- turn off the blue led light
- grasp the drawer handle, then open it
- go push the pink block into the drawer
- rotate the pink block towards the right
- push the green button to turn off the green light
- turn off the blue light lamp
- turn off the red light lamp
...
- turn the yellow block right
- stack the yellow block on top of the purple block
- put the pink object on the table
- close the drawer",2,2,2,0,Franka Emika Panda,Single Arm,,"blocks, drawer, light button","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'actions': Tensor(shape=(7,), dtype=float32, description=absolute desired values for gripper pose (first 6 dimensions are x, y, z, yaw, pitch, roll), last dimension is open_gripper (-1 is open gripper, 1 is close)),
            'rel_actions_gripper': Tensor(shape=(7,), dtype=float32, description=relative actions for gripper pose in the gripper camera frame (first 6 dimensions are x, y, z, yaw, pitch, roll), last dimension is open_gripper (-1 is open gripper, 1 is close)),
            'rel_actions_world': Tensor(shape=(7,), dtype=float32, description=relative actions for gripper pose in the robot base frame (first 6 dimensions are x, y, z, yaw, pitch, roll), last dimension is open_gripper (-1 is open gripper, 1 is close)),
            'terminate_episode': float32,
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'depth_gripper': Tensor(shape=(84, 84), dtype=float32),
            'depth_static': Tensor(shape=(150, 200), dtype=float32),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'rgb_gripper': Image(shape=(84, 84, 3), dtype=uint8),
            'rgb_static': Image(shape=(150, 200, 3), dtype=uint8, description=RGB static image of shape. (150, 200, 3). Subsampled from (200,200, 3) image.),
            'robot_obs': Tensor(shape=(15,), dtype=float32, description=EE position (3), EE orientation in euler angles (3), gripper width (1), joint positions (7), gripper action (1)),
            'structured_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})","EEF Position

(rel_actions_world is used in OXE)","Seems to be good
- the instructions are diverse enough",,,,Human VR,,,
Austin VIOLA,3,TRUE,TRUE,,"1. Dining-Bowl (pick up the bowl from the lazy Susan and put bowl on the plate)
2. Make-Coffee (make coffee)
3. Dining-PlateFork (arrange plate and fork)",3,,Tabletop,1,135,516,20,✅,viola,"Templated
1. Dining-Bowl (pick up the bowl from the lazy Susan and put bowl on the plate)
2. Make-Coffee (make coffee)
3. Dining-PlateFork (arrange plate and fork)",2,0,1,1,Franka,Single Arm,,"1. plate
2. bowl
3. fork
4. coffee machine","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': float32,
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'agentview_rgb': Image(shape=(224, 224, 3), dtype=uint8, description=RGB captured by workspace camera),
            'ee_states': Tensor(shape=(16,), dtype=float32, description=Pose of the end effector specified as a homogenous matrix.),
            'eye_in_hand_rgb': Image(shape=(224, 224, 3), dtype=uint8, description=RGB captured by in hand camera),
            'gripper_states': Tensor(shape=(1,), dtype=float32, description=gripper_states = 0 means the gripper is fully closed. The value represents the gripper width of Franka Panda Gripper.),
            'joint_states': Tensor(shape=(7,), dtype=float32, description=joint values),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,"1. Adding visual/process details for overall tasks
2. Maybe can split into sub-tasks",,,,Human Spacemouse,,,
